cust_id,cust_contact,cust_email,cust_dob,cust_gender,cust_fname,cust_lname,cust_city,cust_postcode,cust_address,cust_active,cust_referral_id,cust_type,cust_date_created
tifc99bi200,07832739540,geraldine93@example.net,1999-02-02,O,Geraldine,Gibbons,Middlesbrough,TS3 7SE,425 Marilyn avenue,False,knqn03cl323,Regular,2021-05-11
mnxk50yg461,07205749452,howardbrown@example.org,1979-09-15,O,Teresa,Smith,Tameside,SK15 1WR,"Studio 56
Holmes mountain",False,,Regular,2021-02-11
korx32es976,07094207716,carolyn83@example.net,1996-02-18,M,Damien,Nicholson,Sevenoaks,TN15 9JS,074 Sarah cliffs,False,,Regular,2023-11-04
ezjr14hu791,07710763429,leigh36@example.com,2005-12-07,M,Scott,Miller,Lambeth,SW16 3JY,"Flat 86y
Eleanor road",True,vqjd84nx309,Premium,2022-09-26
yclp85ad695,07771568477,vwong@example.net,1975-11-26,F,Beverley,Brown,Darlington,DL1 5LT,6 Ward bypass,False,uhkk86wl165,Premium,2020-12-11
zhfl22kv442,07759411113,ogibbons@example.net,1999-10-17,O,Georgia,Brookes,Hartlepool,TS25 3FR,925 Clare highway,False,vqjd84nx309,Regular,2021-04-11
qvgr83pl390,07671970822,morgangraham@example.com,1977-08-11,M,Justin,Jones,Newcastle,NE2 2LG,"Studio 54P
Julie extensions",False,pghk17cd042,Regular,2019-07-12
ormw26jh773,07685252376,jwalker@example.net,1994-02-28,F,Fiona,Daly,Bristol,BS9 4WZ,"Flat 7
Phillips fields",True,ormw26jh773,Regular,2023-07-05
xikc18dy769,07215271250,fkaur@example.com,1997-12-22,O,Eileen,Lawrence,Calderdale,HX1 3XJ,39 Russell turnpike,True,bjgd27ii209,Premium,2020-05-06
bofq23xp782,07144429367,beniqbal@example.com,1991-12-23,M,Nicole,Hargreaves,Shropshire,SY7 8GN,"Flat 20A
Richards fall",False,ynta91pg464,Premium,2021-07-12
tbkl20yp323,07804691458,cookdavid@example.org,1983-03-18,F,Angela,Carter,East Riding of Yorkshire,HU11 5BD,"Flat 38Q
Ward rest",True,htdh42io696,Premium,2022-04-02
cjum45cw955,07864417347,hayley19@example.org,1999-02-11,M,Ross,Robinson,Exeter,EX14 4TJ,"Studio 9
Peters unions",False,ormw26jh773,Premium,2021-01-30
zndx79dv595,07030105624,qadams@example.org,1994-02-07,F,Francis,Rogers,Hillingdon,UB3 1BU,30 Abigail shoals,True,krhb93ai768,Regular,2021-06-08
zhac02rd895,07011474264,fosterleigh@example.net,1982-05-12,O,Nicole,Cooper,St Albans,AL5 3nan,"Studio 38
Abigail terrace",True,,Premium,2021-01-19
pbyh46iw645,07546698497,stanley08@example.net,1991-06-08,O,Jane,King,Cardiff,CF14 7NQ,"Flat 12
Mathew trail",False,cjum45cw955,Regular,2019-05-06
cbks56ex501,07632742192,watsoncharlotte@example.org,2005-11-24,M,Pauline,Burton,Wolverhampton,WV1 4DJ,"Flat 09
Thompson mountain",True,gkab56dt596,Regular,2023-08-23
zxhu04qz949,07244415103,eholmes@example.com,1973-03-22,M,Ashleigh,Davis,Manchester,M19 1DP,75 Barton ridge,False,fpsq33or116,Regular,2019-10-30
tomw58ec332,07195804976,emmapayne@example.org,1987-04-30,O,Jeremy,Jones,Hillingdon,UB3 3QS,"Studio 16
Reid gateway",True,bofq23xp782,Premium,2023-05-20
unkz46ug554,07124339520,ecarter@example.org,1964-02-22,O,Samuel,Atkinson,South Ayrshire,KA19 7JF,49 Turner ports,True,cjum45cw955,Regular,2021-06-24
ehqe06pj251,07003107143,steven52@example.com,2000-05-28,F,Brenda,Swift,Central Bedfordshire,LU7 0FP,"Studio 5
Butler crossroad",False,jaod01gt269,Regular,2023-10-11
euqm90ct778,07856238892,clarktimothy@example.org,1997-11-10,O,Melanie,Thompson,Hounslow,TW3 3EN,"Flat 97j
Mohammad corner",False,,Premium,2021-01-12
krhb93ai768,07763089969,marcmay@example.com,1996-10-02,F,Vincent,Shah,Shropshire,SY11 1BX,"Flat 41
Rebecca passage",False,,Regular,2019-06-13
uztn96tq233,07726988129,whittakersylvia@example.net,1998-07-17,M,Iain,Bowen,Oldham,OL9 7AS,"Studio 08
Sian stravenue",False,wglx96fj330,Premium,2022-03-23
sahs22dc031,07259296596,dominic83@example.com,1972-11-02,O,Donna,Hurst,Worthing,BN15 5UN,"Studio 34a
Savage route",True,,Regular,2022-05-30
knqn03cl323,07643669683,kellyamber@example.net,1987-08-04,M,Neil,Thompson,Aylesbury Vale,HP19 9TY,"Flat 13f
Thomas loaf",True,ljfo40vn215,Premium,2022-10-05
