shipment_id,order_id,cust_id,shipment_date,shipment_company,shipment_address,shipment_postcode,shipment_city,shipment_status
hof0823955937,52742395,ikzx52ui551,2022-08-17,"Singh, Howard and Harvey",15 Joanna orchard,BT38 0ZH,Carrickfergus,Cancelled
znp4366060617,21091613,vqjd84nx309,2020-01-01,Murphy Group,31 Gillian burgs,N11 3TR,Enfield,Pending
jzo5027876802,36268576,vqjd84nx309,2023-11-15,Henderson-Anderson,31 Gillian burgs,N11 3TR,Enfield,Delivered
xcn7101800851,51873577,korx32es976,2020-03-22,Elliott and Sons,074 Sarah cliffs,TN15 9JS,Sevenoaks,Cancelled
olw7819344037,31318366,xrmi24eu289,2023-07-05,"May, Richardson and Ahmed",036 Garner branch,DN4 0HE,Doncaster,In Transit
hbl3500758600,82217266,tbkl20yp323,2022-01-28,O'Sullivan and Sons,"Flat 38Q
Ward rest",HU11 5BD,East Riding of Yorkshire,Delivered
cai8137888303,80769715,vqjd84nx309,2022-06-16,"Smith, Jennings and King",31 Gillian burgs,N11 3TR,Enfield,Delivered
cwk0273715869,93380254,tomw58ec332,2020-02-23,Walker Ltd,"Studio 16
Reid gateway",UB3 3QS,Hillingdon,Cancelled
mqa3314676244,17024035,knqn03cl323,2021-03-27,"Mills, Bates and Clark","Flat 13f
Thomas loaf",HP19 9TY,Aylesbury Vale,In Transit
atx3337016517,42615445,awnl93gw081,2019-04-21,Stephens PLC,131 Helen mill,EH12 5PQ,Edinburgh,Cancelled
qqg7704943298,17767680,jzox33pt846,2019-12-05,Vincent PLC,789 Ann port,BB11 5DH,Burnley,Delivered
bcc1166815944,64649962,ehqe06pj251,2021-07-07,Spencer-Clarke,"Studio 5
Butler crossroad",LU7 0FP,Central Bedfordshire,Delivered
laz6664128889,29336427,jaod01gt269,2022-02-15,"Richardson, Mills and Jones",83 Elliott corners,EX39 4JP,Torridge,Pending
apx0526840500,20508421,gihd07uq210,2019-04-22,"Carpenter, Jones and Lee",12 Stacey underpass,FY1 3NE,Blackpool,Pending
ira3130399258,18019128,pegk82sb010,2019-05-08,Shah Inc,"Flat 06W
Jasmine canyon",NG12 5DF,Rushcliffe,Delivered
vaa1726905297,22311993,vqjd84nx309,2023-03-06,"Thompson, White and Andrews",31 Gillian burgs,N11 3TR,Enfield,Pending
fmo4389826979,44212897,fpsq33or116,2020-09-27,Smith-Jackson,41 Alison hill,DN14 9WL,East Riding of Yorkshire,Delivered
sfm5795868464,62369466,unkz46ug554,2021-12-28,Willis-Stephens,49 Turner ports,KA19 7JF,South Ayrshire,Delivered
khq1004686306,95904830,iiyk27fi635,2020-04-21,Briggs Group,391 Derek manors,NG17 1PP,Ashfield,Cancelled
tco0573585990,28984535,gkab56dt596,2019-08-12,Murray-Hayes,"Studio 1
Clayton ridge",LU3 9ND,Luton,Delivered
gpi7674491041,70681694,zndx79dv595,2023-07-11,Chapman-Brown,30 Abigail shoals,UB3 1BU,Hillingdon,Pending
jhz9532761501,62858865,xikc18dy769,2021-04-18,Read-Peters,39 Russell turnpike,HX1 3XJ,Calderdale,Cancelled
tvr1676257083,42816022,zndx79dv595,2022-05-15,Bailey-Middleton,30 Abigail shoals,UB3 1BU,Hillingdon,Delivered
hwp9326894416,51326624,zndx79dv595,2023-11-07,Taylor Ltd,30 Abigail shoals,UB3 1BU,Hillingdon,Delivered
oes5145396510,77815448,pegk82sb010,2019-01-27,"Smith, O'Connor and Hobbs","Flat 06W
Jasmine canyon",NG12 5DF,Rushcliffe,Cancelled
wgs0314194604,34866997,pbyh46iw645,2021-07-15,Noble LLC,"Flat 12
Mathew trail",CF14 7NQ,Cardiff,Delivered
yvy9638532718,19819529,bofq23xp782,2023-07-06,Bird PLC,"Flat 20A
Richards fall",SY7 8GN,Shropshire,In Transit
mas1828173252,55920816,pegk82sb010,2021-03-12,Whitehead Group,"Flat 06W
Jasmine canyon",NG12 5DF,Rushcliffe,Cancelled
dyz4660381723,11409099,jzox33pt846,2020-06-26,Cooper-Begum,789 Ann port,BB11 5DH,Burnley,Delivered
ghz7061439631,15276690,rnoj77oh349,2019-07-05,"Watts, Forster and Wood",69 Susan mountain,LS9 9XP,Leeds,In Transit
cig3401583906,40676517,awnl93gw081,2021-05-31,Newton-Bell,131 Helen mill,EH12 5PQ,Edinburgh,Delivered
uts2175392416,74032366,krhb93ai768,2019-06-23,Scott-Ali,"Flat 41
Rebecca passage",SY11 1BX,Shropshire,In Transit
evp5981336629,38909317,jzox33pt846,2024-01-17,Jones-Smith,789 Ann port,BB11 5DH,Burnley,Delivered
zbz3464600664,83189811,htdh42io696,2021-04-16,Bird PLC,"Studio 69C
Evans neck",CH2 3PT,Cheshire West and Chester,Pending
jnj6101904006,25475619,cbks56ex501,2019-05-29,Walker LLC,"Flat 09
Thompson mountain",WV1 4DJ,Wolverhampton,Delivered
yae2711906333,43140186,xrmi24eu289,2022-06-07,Jones-Richards,036 Garner branch,DN4 0HE,Doncaster,Delivered
byy1337585590,98881757,uztn96tq233,2020-04-01,Gray PLC,"Studio 08
Sian stravenue",OL9 7AS,Oldham,Delivered
ivx9765203366,61194907,tkpw04jb846,2020-11-06,"Webb, Smith and Doyle","Studio 5
Oliver row",CM7 2ZB,Braintree,Cancelled
ulh7488065306,87975820,bjgd27ii209,2021-02-08,Spencer-Cooper,18 Khan junctions,CV6 3XT,Coventry,Cancelled
gyx3565523936,35588789,ynta91pg464,2019-07-28,Collins-Booth,"Studio 64
Jennifer squares",NG16 1JF,Broxtowe,In Transit
ugv9893402945,22275278,cjum45cw955,2021-09-04,Barber PLC,"Studio 9
Peters unions",EX14 4TJ,Exeter,Pending
ycu9672513553,22470151,fpsq33or116,2020-11-03,Bruce Ltd,41 Alison hill,DN14 9WL,East Riding of Yorkshire,Cancelled
rse8154901427,13214889,xikc18dy769,2023-01-22,"Wright, Mason and Wilson",39 Russell turnpike,HX1 3XJ,Calderdale,Delivered
dij8192911839,73315691,mnxk50yg461,2020-10-13,Hussain Inc,"Studio 56
Holmes mountain",SK15 1WR,Tameside,Delivered
ept5112925248,37049830,qvgr83pl390,2019-06-06,Taylor and Sons,"Studio 54P
Julie extensions",NE2 2LG,Newcastle,Cancelled
uqa4380435367,13035939,tomw58ec332,2023-05-31,Rice-Hughes,"Studio 16
Reid gateway",UB3 3QS,Hillingdon,Pending
jfg9243442352,61352317,zxls47rf746,2021-04-19,Davey Group,9 Martin plaza,SW16 5JA,Lambeth,Pending
bft7591342040,17955791,rkge30jc866,2021-12-18,Brooks-Hawkins,615 Kaur centers,DE11 9SF,South Derbyshire,Delivered
cwt4566298196,40130864,zhfl22kv442,2021-06-25,Kirk-Graham,925 Clare highway,TS25 3FR,Hartlepool,Delivered
qkz9717616147,30914889,tkpw04jb846,2021-06-05,Hunt and Sons,"Studio 5
Oliver row",CM7 2ZB,Braintree,Cancelled
mxt9296322813,63738965,yclp85ad695,2019-04-21,Lloyd-Hunt,6 Ward bypass,DL1 5LT,Darlington,Pending
tjf4778905446,21518960,ikzx52ui551,2019-05-29,Chambers PLC,15 Joanna orchard,BT38 0ZH,Carrickfergus,In Transit
pob9046031348,33508443,cbks56ex501,2019-06-02,Butler Group,"Flat 09
Thompson mountain",WV1 4DJ,Wolverhampton,Cancelled
qty6198314196,49321991,euqm90ct778,2020-05-05,"Cooper, Chamberlain and Smith","Flat 97j
Mohammad corner",TW3 3EN,Hounslow,Pending
swm1710425733,46367252,uztn96tq233,2022-01-07,Collier-Sharp,"Studio 08
Sian stravenue",OL9 7AS,Oldham,Pending
jqo2273722540,13433706,uhkk86wl165,2022-04-08,Brookes-O'Brien,"Flat 26J
Walker pine",BT12 6BE,Belfast,Cancelled
rxg1788363780,93349494,unkz46ug554,2021-04-20,Houghton and Sons,49 Turner ports,KA19 7JF,South Ayrshire,In Transit
ebb6499175312,41996576,tomw58ec332,2020-03-22,"Booth, Moss and Bell","Studio 16
Reid gateway",UB3 3QS,Hillingdon,Delivered
iiv1595125481,82061695,fpsq33or116,2024-02-13,Woodward-Wilson,41 Alison hill,DN14 9WL,East Riding of Yorkshire,Pending
ahq6220543347,95919692,zhac02rd895,2020-01-29,Morgan-Woods,"Studio 38
Abigail terrace",AL5 3nan,St Albans,Delivered
cwz8190329602,61696277,ahlk24vu240,2019-03-29,Baker-Fitzgerald,5 Louis inlet,PR5 4DY,South Ribble,Delivered
bom7875877141,44126874,sahs22dc031,2021-09-07,"Hardy, Wright and Walker","Studio 34a
Savage route",BN15 5UN,Worthing,Delivered
cug1151666357,41055205,unkz46ug554,2021-02-19,Adams Ltd,49 Turner ports,KA19 7JF,South Ayrshire,Pending
uzm2449020284,13175549,ucqd20dx502,2021-07-18,Cox-Parker,21 Sarah path,NG2 5NR,Nottingham,Delivered
jwr4633575204,54199613,uhkk86wl165,2021-07-21,Morgan Group,"Flat 26J
Walker pine",BT12 6BE,Belfast,Cancelled
fan3896167766,12109693,mkdf99dr289,2020-07-26,"Craig, Peacock and Lloyd","Studio 5
Yates trail",PE28 9AP,Huntingdonshire,In Transit
unh4039226236,75743390,mgdx98lu616,2022-09-06,Kemp-Cunningham,"Flat 59
Sian ports",PR2 5WD,Preston,Delivered
ame0200924449,28866974,ucqd20dx502,2019-11-17,Fitzgerald-Brown,21 Sarah path,NG2 5NR,Nottingham,Delivered
iuo1043880581,62177055,sahs22dc031,2019-11-13,"O'Brien, Taylor and Baker","Studio 34a
Savage route",BN15 5UN,Worthing,Pending
kkd9817778997,31969925,mnxk50yg461,2020-01-22,"Law, Watson and Cooper","Studio 56
Holmes mountain",SK15 1WR,Tameside,Cancelled
mae3918809006,28852749,bjgd27ii209,2021-12-31,Harrison Group,18 Khan junctions,CV6 3XT,Coventry,Pending
kgr3050693791,65067820,tbkl20yp323,2022-11-30,O'Connor Group,"Flat 38Q
Ward rest",HU11 5BD,East Riding of Yorkshire,Delivered
sxr9624302683,84026325,gihd07uq210,2021-09-24,Walker-Johnson,12 Stacey underpass,FY1 3NE,Blackpool,Pending
